Team,Bateador,Position,Singles,Doubles,Triples,HomeRuns,Walks,HP,atBats,runs,rbi,seasonAVG,seasonOPS
Sultanes de Monterrey,Christopher Escarrega,C,0,0,0,0,1,0,2,1,0,0.209,0.556
Sultanes de Monterrey,Jose Cardona,CF,1,0,0,0,0,0,4,0,0,0.329,0.767
Sultanes de Monterrey,Asael Sanchez,1B,0,0,0,1,0,0,4,1,1,0.313,0.975
Sultanes de Monterrey,Gustavo Nunez,SS,1,0,0,0,1,0,3,0,1,0.307,0.842
Sultanes de Monterrey,Leonys Martin,LF,0,0,0,0,0,0,4,0,0,0.268,0.798
Sultanes de Monterrey,Josh Lester,3B,0,0,0,0,0,0,4,0,0,0.328,1.017
Sultanes de Monterrey,Zoilo Almonte,DH,1,0,0,0,1,0,3,0,0,0.27,0.784
Sultanes de Monterrey,Donovan Casey,RF,0,1,0,0,1,0,3,1,0,0.302,0.802
Sultanes de Monterrey,Esteban Quiroz,2B,0,0,0,0,1,0,2,0,1,0.295,0.896
Diablos Rojos del Mexico,Robinson Canó,DH,1,0,0,0,0,0,4,1,0,0.366,0.977
Diablos Rojos del Mexico,Ramón Flores,CF,0,0,0,0,1,0,3,0,0,0.263,0.755
Diablos Rojos del Mexico,Francisco Mejía,C,0,1,0,0,0,0,3,1,0,0.357,0.941
Diablos Rojos del Mexico,Juan Carlos Gamboa,SS,0,0,1,1,1,0,3,1,2,0.38,1.037
Diablos Rojos del Mexico,José Marmolejos,1B,0,1,0,0,0,0,4,1,0,0.314,0.849
Diablos Rojos del Mexico,José Rondón,3B,1,0,0,1,0,0,4,1,2,0.358,0.999
Diablos Rojos del Mexico,Carlos Sepulveda,2B,2,0,0,0,0,0,4,1,1,0.422,1.098
Diablos Rojos del Mexico,Julian Ornelas,LF,0,0,0,1,0,0,4,1,1,0.357,1.051
Diablos Rojos del Mexico,Aristides Aquino,RF,0,1,0,0,0,0,4,0,1,0.272,0.881
