Team,Pitcher,BattersFaced,TotalOuts,Singles,Doubles,Triples,HomeRuns,Walks,HP,atBats,runs,earnedRuns,seasonERA
Sultanes de Monterrey,Juan Gámez,3,2,0,1,0,0,0,0,3,1,1,1.31
Sultanes de Monterrey,Geronimo Franzua,4,2,1,1,0,0,0,0,4,1,1,1.71
Sultanes de Monterrey,Nolan Kingham,18,12,3,1,0,2,2,0,16,4,4,6.31
Sultanes de Monterrey,Paul Fry,2,1,0,0,1,0,0,0,2,0,0,0.72
Sultanes de Monterrey,Jared Lakind,7,6,0,0,0,1,0,0,7,1,1,8.44
Sultanes de Monterrey,Zack Leban,1,1,0,0,0,0,0,0,1,0,0,2.08
Diablos Rojos del Mexico,Trevor Clifton,1,0,0,0,0,0,1,0,0,1,1,3.75
Diablos Rojos del Mexico,Conner Menez,6,6,0,0,0,0,2,0,4,0,0,1.32
Diablos Rojos del Mexico,Edwin Fierro,5,3,1,1,0,0,0,0,4,1,1,3.86
Diablos Rojos del Mexico,Wilmer Font,16,12,1,0,0,1,2,0,14,1,1,7.16
Diablos Rojos del Mexico,Tomohiro Anraku,3,3,0,0,0,0,0,0,3,0,0,2.39
Diablos Rojos del Mexico,J.C. Mejía,4,3,1,0,0,0,0,0,4,0,0,1.8
